267,1,6,בחור אליהו,ELIYAHU BACHUR
268,1,16,קלונימוס,KLONIMUS
269,1,18,הפרדס,HAPARDES
270,1,21,בן עזרא,BEN-EZRA
271,1,27,הקליר,HAKALIR
272,1,19,אלחריזי,ALCHERIZI
273,1,4,"יל""ג",SIMTAT YELAG
274,1,10,שמואל הנגיד,SHMU'EL HANAGID
275,1,21,הדסה,HADASSA
276,1,28,ויזל,WEISEL
277,1,11,ליברמן,LIBERMAN
278,1,8,"יהל""ל",YEHALEL
279,1,75,"אד""ם הכהן",ADAM HAKOHEN
280,1,25,מצדה,MEZADA
281,1,28,באר טוביה,BE'ER TUVIYA
282,1,26,גוש חלב,GUSH-CHALAV
283,1,4,יודפת,YODFAT
284,1,13,חולדה,HULDA
285,1,7,"שי""ר",SHIR
286,1,20,גרץ,GRAETZ
287,1,25,"רנ""ק",RANAK
288,1,4,יוסט,JOST
289,1,8,וייס איזיק הירש,WEIIS IZIK HIRSH
290,1,28,ברנשטיין אדוארד,BERNSTEIN
291,1,26,לסל,FERDINAND LASSALLE
292,1,24,אהרון דוד גורדון,AHRON DAVID GORDON
293,1,23,ביירון,BYRON
294,1,20,ז'ורס ז'אן,JEAN JAURES
295,1,6,קורולנקו,KOROLENKO
296,1,32,זולא אמיל,ZOLA EMILE
297,1,20,נתן החכם,NATHAN HEHAKHAM
298,1,23,הירשנברג,HIRSCHENBERG
299,1,15,"ש""ץ",SHATZ
300,1,5,עמוס,AMOS SIMTAT
301,1,24,גוטליב,GOTTLIEB
302,1,41,שפינוזה,SPINOZA
303,1,18,כהן הרמן,CHOEN HERMAN
304,1,35,יום טוב,YOMTOV
305,1,10,מנדלסון,MENDELSO'HN
306,1,10,פילון,FILON
307,1,10,גזר,GEZER
308,1,8,מצפה,MITSPE
309,1,12,לכיש,LACHISH
310,1,500,מלכי ישראל,MALCHEY ISRAEL
311,1,15,מגידו,MEGIDDO
312,1,25,ישראליס,YISRA'ELS
313,1,44,פרוג,FRUG
314,1,13,"של""ג",SHALAG
315,1,17,יהואש,YEHO'ASH
316,1,13,לוריא,LURIE
317,1,12,גליקסון,GLICKSON
318,1,13,אהרונוביץ,AHARONOVITCH
319,1,16,בן עמי,BEN AMI
320,1,9,בילינסון,BEILINSON
321,1,12,דרויאנוב,DRUYANOV
322,1,10,גנסין,GENSSIN
323,1,64,ריינס,REINESS
324,1,17,אסתר המלכה,ESTHER HAMALKA
325,1,16,רות,RUTH
326,1,10,יעל,YA'EL
327,1,15,שולמית,SHULAMIT
328,1,27,שטנד,STAND
329,1,8,רייך,REICH
330,1,27,מאנה,MANNE
332,1,8,לטריס,LETRIS
333,1,2,333,
334,1,44,השופטים,HA-SHOFTIM
335,1,14,גדעון,GIDE'ON
336,1,13,שמשון הגיבור,SHIMSHON HAGIBOR
337,1,59,"ח""ן",HEN
339,1,8,האלקושי,ALKOSHY
340,1,10,רוזנבאום,ROSENBAUM
341,1,19,יוסף אליהו,YOSEF ELIAHU
342,1,20,לוין שמריהו,SHAMRYAHU LEWIN
343,1,17,"תרס""ט",TARSAT
344,1,24,הוברמן,HUBERMAN
345,1,22,ספיר אליהו,SAPHYR
346,1,7,עמרם גאון,AMRAM GA'ON
347,1,21,שפירא צבי הרמן,SHAPIRA HERMAN
348,1,29,חיסין,CHISSIN
349,1,6,לב אברהם,LEV AVRAHAM
350,1,34,בן ציון,BEN TSIYON
352,1,6,לאן ב',LE'AN BET
353,1,16,עין חרוד,EYN HAROD
354,1,12,תל חי,TEL HAY
355,1,2,355,
356,1,2,356,
357,1,8,אימבר,IMBER
358,1,22,בר אילן,BAR ILAN
359,1,22,חיים ואלישע,HAYIM VE'ELISHA
360,1,8,שבע השקמים,SHEVA HASHIKMIM
361,1,70,מלצ'ט,MELCHETT
362,1,18,ברוק,BRUK
363,1,21,שניאור זלמן,SCHNEUR SALMAN
364,1,5,הר סיני,HAR SINAI
365,1,20,בית השואבה,BEYT HASHO'EVA
366,1,8,גור אריה,SIMTAT GUR ARYE
367,1,4,הבימה,KIKAR HABIMA
368,1,48,"מל""ן",MALAN
369,1,10,"רבינוביץ שפ""ר",SHEFER
370,1,15,צדוק הכהן,TZADOK
371,1,20,התבור,HATABOR
372,1,32,לפין,LAPIN
373,1,15,עצמון,ATSMON
374,1,78,הרכבת,HARAKEVET
375,1,20,יון מצולה,YEVEN METSULA
376,2,47,"ריב""ל",RIVAL
378,1,45,ישכון,YISHKON
379,1,24,אוליפנט,OLIPHPANT
380,1,21,כורש,KORESH
381,1,25,קרית ספר,KIRYAT SEFER
382,1,22,חכמי דוד,HACKMEY
383,2,9,אלישברג,ELIASHBERG
